Sl.no,Crop,Minimum Practical Area (acre),Total Water ( mm ),Total Water (Liters/ha),Total Water (USGallons/ha),Crop Duration (days),Daily Water (L/ha/day),Soil Type,Soil Moisture,Min Temp,Max temp,
1,Rice (Paddy),1,1250,5062500,1336000,110,46000,Clayey,flooded,20,30,
2,Maize,1,650,2632500,694600,100,26325,Well-drained,Medium,20,30,
3,Finger Millet (Ragi),1,500,2025000,534800,100,20250,Loamy,Medium,20,27,
4,Barley,1,400,1620000,427600,100,16200,Well-drained,Medium,10,25,
5,Wheat,1,450,1822500,481200,120,15188,Loamy,Medium,15,25,
6,Small Millets,1,400,1620000,427600,100,16200,Well-drained,Medium,20,30,
7,Urad (Black Gram),1,400,1620000,427600,70,23143,Sandy,Medium,25,35,
8,Soybean,1,550,2227500,587600,100,22275,medium fertility,Medium,20,30,
9,Rapeseed & Mustard,1,425,1721250,454600,100,17213,medium fertility,Medium,10,25,
10,Orange (Mandarin),1,370,1497000,395500,90,16633,Loamy,Medium,18,30,
11,Large Cardamom ,1,370,1497000,395500,90,16633,high organic,High,15,25,
12,Ginger,1,333,1350000,356600,90,15000,high organic,High,22,28,
13,Turmeric,1,333,1350000,356600,90,15000,Loamy,High,20,30,
14,Dalle Khursani (Chilli),1,450,1822500,481200,90,20250,Loamy,Medium,20,30,
15,Baby Corn,1,585,2366000,624900,90,26290,Loamy,Medium,20,30,
16,Potato,1,375,1518750,401000,90,16875,Loamy,Medium,15,25,
17,Tea,1,296,1196000,315900,90,13290,Loamy,Medium,18,30,
18,Tomato,1,450,1822500,481200,90,20250,Loamy,Medium,20,30,
19,Broccoli,1,450,1822500,481200,90,20250,Loamy,Medium,18,25,
20,Spinach (Palak),1,750,3037500,801600,90,33750,Loamy,Medium,15,25,
21,Mustard Greens,1,720,2916000,770000,90,32400,Loamy,Medium,10,25,
22,Kohlrabi,1,765,3091000,816000,90,34344,Loamy,Medium,15,25,
23,Cabbage,1,810,3283500,866900,90,36483,Loamy,Medium,15,25,
24,Cauliflower,1,810,3283500,866900,90,36483,Loamy,Medium,15,25,
25,Radish (Muli),1,600,2430000,641900,90,27000,Loamy,Medium,10,20,
26,Pea,1,350,1417500,374600,100,14175,Well-drained,Medium,10,25,
27,Sweet potato ,1,750,3037500,802000,150,20250,Loamy,Medium,21,26,
28,Chilli,1,600,2430000,642000,150,16200,Well-drained,Medium,20,30,
29,Litchi,1,1200,4860000,1283000,365,13315,Well-drained,Medium,20,35,
30,Onion,1,600,2430000,641900,90,27000,Loamy,Medium,15,25,
31,Guava,1,1000,4050000,1070000,365,11095,Well-drained,Medium,23,28,
32,Papaya,1,370,1492000,393800,90,16578,Loamy,Medium,25,30,
33,Jackfruit,1,1200,4860000,1283000,365,13315,Loamy,Medium,22,32,
34,Iskus,1,900,3645000,963000,210,17357,Well-drained,Medium,18,26,
35,Banana,1,493,1998000,528300,90,22200,alluvial,High,26,30,
36,Coriander,1,600,2430000,641900,90,27000,Sandy,Medium,20,25,
37,Pumpkin,1,600,2430000,641900,120,20250,Well-drained,Medium,20,30,
38,Brinjal,1,700,2835000,749000,150,18900,Well-drained,Medium,22,30,
39,Carrot,1,500,2025000,534800,120,16875,Loamy,Medium,16,24,
40,Anthurium,1,1200,4860000,1283000,365,13315,Well-drained,High,20,28,
41,Cymbidium,1,1000,4050000,1070000,365,11095,Well-drained,High,15,25,
42,Rose,1,900,3645000,963000,365,9986,Well-drained,High,18,28,
43,Pasinon fruit,1,1100,4455000,1176000,365,12205,Well-drained,High,20,30,
